kdkec,nmkec,kddesa,nmdesa,nmsls,idsls,latitude,longitude
070,TEGINENENG,007,KOTA AGUNG,RT 004 DUSUN BERNAI,18090700070004,-5.148463595664191,105.184070526327
070,TEGINENENG,007,KOTA AGUNG,RT 001 DUSUN INDUK,18090700070002,-5.142275316225263,105.18598164864929
070,TEGINENENG,007,KOTA AGUNG,HUTAN / KEBUN,18090700071001,-5.143392871499975,105.1929235427826
070,TEGINENENG,007,KOTA AGUNG,RT 007 DUSUN CIMANGGA,18090700070007,-5.1556224654853,105.18239825242948
070,TEGINENENG,007,KOTA AGUNG,RT 002 DUSUN INDUK,18090700070001,-5.140507827134674,105.18656966521537
070,TEGINENENG,004,BUMIAGUNG,RT 021 DUSUN SIDO BASUKI RW 11,18090700040017,-5.176770793474576,105.18458138432203
070,TEGINENENG,006,REJOAGUNG,RT 003 DUSUN PURWODADI,18090700060020,-5.1676765928729,105.19411913508156
070,TEGINENENG,006,REJOAGUNG,RT 004 DUSUN PURWOREJO,18090700060013,-5.176397351899155,105.19499350090571
070,TEGINENENG,006,REJOAGUNG,RT 002 DUSUN PURWOREJO I,18090700060009,-5.175553074763618,105.19665844757665
070,TEGINENENG,006,REJOAGUNG,RT 001 DUSUN PURWOREJO I,18090700060008,-5.176930427264963,105.1983453144087
070,TEGINENENG,006,REJOAGUNG,RT 002 DUSUN KALANGAN II,18090700060025,-5.157871243208839,105.22297572351727
070,TEGINENENG,006,REJOAGUNG,RT 004 DUSUN PANCUR,18090700060004,-5.183531881544316,105.19472806953705
070,TEGINENENG,006,REJOAGUNG,RT 003 DUSUN PANCUR,18090700060003,-5.183382830674991,105.19591241509342
070,TEGINENENG,006,REJOAGUNG,RT 003 DUSUN PURWOREJO II,18090700060017,-5.179096965921788,105.19083162715586
070,TEGINENENG,006,REJOAGUNG,RT 002 DUSUN PANCUR,18090700060002,-5.182968235107134,105.19723659147756
070,TEGINENENG,006,REJOAGUNG,RT 002 DUSUN KALANGAN I,18090700060022,-5.161124391462449,105.22065579930452
070,TEGINENENG,006,REJOAGUNG,RT 001 DUSUN KALANGAN I,18090700060021,-5.162248919455574,105.21959234616234
070,TEGINENENG,006,REJOAGUNG,RT 003 DUSUN KALANGAN II,18090700060026,-5.155835260673999,105.22160490308798
070,TEGINENENG,006,REJOAGUNG,RT 001 DUSUN PURWODADI,18090700060018,-5.17178247883255,105.19540883450136
070,TEGINENENG,006,REJOAGUNG,KEBUN,18090700061001,-5.186528928999965,105.19885119522016
070,TEGINENENG,006,REJOAGUNG,RT 003 DUSUN PURWOREJO I,18090700060010,-5.174313562091504,105.19598333333332
070,TEGINENENG,006,REJOAGUNG,KEBUN,18090700061004,-5.173055,105.201313333333
070,TEGINENENG,006,REJOAGUNG,RT 003 DUSUN PURWOREJO,18090700060012,-5.178598595769516,105.19665982672252
070,TEGINENENG,006,REJOAGUNG,RT 002 DUSUN PURWOREJO,18090700060007,-5.180232809593519,105.19729135036468
070,TEGINENENG,006,REJOAGUNG,KEBUN,18090700061005,-5.16013921949994,105.20743967573443
070,TEGINENENG,007,KOTA AGUNG,RT 006 DUSUN BERNAI,18090700070006,-5.15094094267391,105.18470683350017
070,TEGINENENG,006,REJOAGUNG,RT 001 DUSUN PANCUR,18090700060001,-5.183262531115929,105.19905881346911
070,TEGINENENG,006,REJOAGUNG,RT 004 DUSUN PURWOREJO I,18090700060011,-5.174007820512821,105.19879653846156
070,TEGINENENG,006,REJOAGUNG,KEBUN,18090700061002,-5.188435484999955,105.19349881281862
070,TEGINENENG,006,REJOAGUNG,KEBUN,18090700061003,-5.17482296149996,105.20228282910645
070,TEGINENENG,006,REJOAGUNG,RT 002 DUSUN PURWODADI,18090700060019,-5.17027117682716,105.19407971573318
070,TEGINENENG,006,REJOAGUNG,RT 002 DUSUN PURWOREJO II,18090700060016,-5.179335100477552,105.193719900584
070,TEGINENENG,006,REJOAGUNG,RT 001 DUSUN KALANGAN II,18090700060024,-5.1565419746376815,105.2247129891304
070,TEGINENENG,005,BATANG HARI OGAN,RT 011 RW 04,18090700050011,-5.168868476190476,105.23653371428574
070,TEGINENENG,005,BATANG HARI OGAN,RT 009 RW 04,18090700050009,-5.175957894146341,105.2148018352439
070,TEGINENENG,007,KOTA AGUNG,RT 014 DUSUN CIMANGGA,18090700070014,-5.154820043968735,105.18148042663563
070,TEGINENENG,005,BATANG HARI OGAN,PERKEBUNAN,18090700051001,-5.17048662899996,105.20632013895842
070,TEGINENENG,005,BATANG HARI OGAN,RT 005 RW 04,18090700050005,-5.170044207650273,105.22661303278693
070,TEGINENENG,005,BATANG HARI OGAN,PERKEBUNAN,18090700051002,-5.186528928999965,105.2112968810375
070,TEGINENENG,007,KOTA AGUNG,RT 010 DUSUN IKATAN SAUDARA,18090700070010,-5.149749784141076,105.17944730810646
070,TEGINENENG,006,REJOAGUNG,KEBUN,18090700061006,-5.15880644199996,105.19564283290289
070,TEGINENENG,006,REJOAGUNG,RT 001 DUSUN PURWOREJO,18090700060006,-5.181732730312661,105.19598398759587
070,TEGINENENG,005,BATANG HARI OGAN,RT 004 RW 02,18090700050004,-5.170379797053171,105.22480692714105
070,TEGINENENG,010,MARGO MULYO,RT 017 DUSUN TRIDADI I,18090700100017,-5.142916859791884,105.15294031491071
070,TEGINENENG,005,BATANG HARI OGAN,RT 001 RW 01,18090700050001,-5.1688423976804385,105.22225918506093
070,TEGINENENG,005,BATANG HARI OGAN,RT 003 RW 02,18090700050003,-5.169729255061935,105.22399109017267
070,TEGINENENG,005,BATANG HARI OGAN,RT 006 RW 04,18090700050006,-5.168900909090908,105.22460732323228
070,TEGINENENG,005,BATANG HARI OGAN,RT 013 RW 04,18090700050013,-5.1793258345,105.207223529
070,TEGINENENG,004,BUMIAGUNG,RT 031 DUSUN BUMI REJO RW 15,18090700040026,-5.183773225806451,105.182706344086
070,TEGINENENG,006,REJOAGUNG,RT 001 DUSUN PURWOREJO II,18090700060015,-5.177528541373218,105.19324559379335
070,TEGINENENG,004,BUMIAGUNG,RT 017 DUSUN PENINJAUAN RW 09,18090700040013,-5.184219502161311,105.17580114305026
070,TEGINENENG,004,BUMIAGUNG,RT 035 DUSUN MASGAR RW 17,18090700040029,-5.158049717514589,105.17934830990215
070,TEGINENENG,004,BUMIAGUNG,RT 007 DUSUN BUMI JAYA RW 04,18090700040004,-5.192155714198641,105.17549912793406
070,TEGINENENG,004,BUMIAGUNG,RT 020 DUSUN PENINJAUAN RW 10,18090700040016,-5.1799900741199405,105.18001829226375
070,TEGINENENG,004,BUMIAGUNG,RT 012 DUSUN SRI AGUNG RW 06,18090700040008,-5.186490453523683,105.18797043629168
070,TEGINENENG,004,BUMIAGUNG,RT 044 DUSUN TITIPASAN RW 20,18090700040038,-5.15632400560606,105.16326858325756
070,TEGINENENG,004,BUMIAGUNG,RT 039 DUSUN TITIPASAN RW 19,18090700040033,-5.155252202222222,105.17221822611111
070,TEGINENENG,004,BUMIAGUNG,RT 001 DUSUN BUMI AGUNG RW 01,18090700040001,-5.196283237298564,105.17745764118573
070,TEGINENENG,004,BUMIAGUNG,RT 025 DUSUN SIDO BASUKI RW 12,18090700040021,-5.170063904385106,105.18119458920927
070,TEGINENENG,004,BUMIAGUNG,RT 024 DUSUN SIDO BASUKI RW 12,18090700040020,-5.172663396089779,105.18254254918608
070,TEGINENENG,004,BUMIAGUNG,RT 027 DUSUN KUNYAIAN RW 13,18090700040023,-5.162100453252033,105.1806202108943
070,TEGINENENG,006,REJOAGUNG,RT 003 DUSUN KALANGAN I,18090700060023,-5.158850715301369,105.22184438713064
070,TEGINENENG,004,BUMIAGUNG,RT 040 DUSUN TITIPASAN RW 19,18090700040034,-5.1564443263934425,105.16910722704918
070,TEGINENENG,004,BUMIAGUNG,RT 018 DUSUN PENINJAUAN RW 09,18090700040014,-5.182827615601944,105.1759357129534
070,TEGINENENG,004,BUMIAGUNG,RT 038 DUSUN MASGAR RW 18,18090700040032,-5.157974999999998,105.18064462962961
070,TEGINENENG,004,BUMIAGUNG,RT 034 DUSUN BUMI REJO RW 16,18090700040028,-5.180434552845528,105.18843097560975
070,TEGINENENG,004,BUMIAGUNG,RT 023 DUSUN SIDO BASUKI RW 12,18090700040019,-5.172750872200001,105.18757498209999
070,TEGINENENG,004,BUMIAGUNG,RT 036 DUSUN MASGAR RW 17,18090700040030,-5.156474927536232,105.17717000000013
070,TEGINENENG,004,BUMIAGUNG,RT 026 DUSUN KUNYAIAN RW 13,18090700040022,-5.165090869618161,105.18028498054204
070,TEGINENENG,004,BUMIAGUNG,RT 006 DUSUN BUMI JAYA RW 04,18090700040003,-5.191414178580972,105.17807770522752
070,TEGINENENG,003,KEJADIAN,RT 006 DUSUN SIMPANG 4 RW 02,18090700030006,-5.188379485506683,105.16760339029656
070,TEGINENENG,003,KEJADIAN,RT 001 DUSUN INDUK RW 01,18090700030001,-5.187982555555556,105.1787284444444
070,TEGINENENG,003,KEJADIAN,RT 010 DUSUN SIMPANG 4 RW 02,18090700030010,-5.185348061526921,105.16194471313452
070,TEGINENENG,004,BUMIAGUNG,RT 009 DUSUN SRI AGUNG RW 05,18090700040005,-5.191204954812107,105.18044763125629
070,TEGINENENG,003,KEJADIAN,RT 009 DUSUN SIMPANG 4 RW 02,18090700030009,-5.188686645398617,105.15452821763316
070,TEGINENENG,004,BUMIAGUNG,RT 022 DUSUN SIDO BASUKI RW 11,18090700040018,-5.174251440447762,105.1832442102985
070,TEGINENENG,003,KEJADIAN,RT 002 DUSUN INDUK RW 01,18090700030002,-5.188555735294118,105.1772775
070,TEGINENENG,003,KEJADIAN,RT 005 DUSUN INDUK RW 01,18090700030005,-5.186930808080809,105.17773676767675
070,TEGINENENG,003,KEJADIAN,RT 003 DUSUN INDUK RW 01,18090700030003,-5.18698037037037,105.17736768518522
070,TEGINENENG,003,KEJADIAN,RT 007 DUSUN SIMPANG 4 RW 02,18090700030007,-5.192870460335491,105.16231556195791
070,TEGINENENG,003,KEJADIAN,RT 004 DUSUN INDUK RW 01,18090700030004,-5.1876787755102045,105.1761154421769
070,TEGINENENG,002,GEDUNG GUMANTI,RT 015 DUSUN ENGGAL MULYO,18090700020015,-5.178567350078701,105.16420090719642
070,TEGINENENG,002,GEDUNG GUMANTI,RT 014 DUSUN TALANG BESAR,18090700020014,-5.187972428218924,105.15189438443724
070,TEGINENENG,002,GEDUNG GUMANTI,RT 004 DUSUN MARGODADI,18090700020004,-5.204429634854813,105.14963179993156
070,TEGINENENG,004,BUMIAGUNG,RT 043 DUSUN TITIPASAN RW 20,18090700040037,-5.158961987364922,105.16407527951412
070,TEGINENENG,002,GEDUNG GUMANTI,RT 002 DUSUN GEDUNG GUMANTI,18090700020002,-5.197629271007442,105.16480404603116
070,TEGINENENG,002,GEDUNG GUMANTI,RT 009 DUSUN JATIHARJO,18090700020009,-5.19999286050658,105.14433704878819
070,TEGINENENG,002,GEDUNG GUMANTI,KEBUN,18090700021001,-5.16814918449996,105.14483474153546
070,TEGINENENG,002,GEDUNG GUMANTI,KEBUN,18090700021002,-5.201651769999961,105.12734626334128
070,TEGINENENG,002,GEDUNG GUMANTI,RT 003 DUSUN MARGODADI,18090700020003,-5.207276840849673,105.15245656895421
070,TEGINENENG,006,REJOAGUNG,RT 005 DUSUN PURWOREJO,18090700060014,-5.175302781418174,105.19461151978467
070,TEGINENENG,002,GEDUNG GUMANTI,RT 001 DUSUN GEDUNG GUMANTI,18090700020001,-5.19484730045977,105.16749944028737
070,TEGINENENG,002,GEDUNG GUMANTI,RT 006 DUSUN JATIHARJO,18090700020006,-5.202807863935254,105.14405706936046
070,TEGINENENG,002,GEDUNG GUMANTI,RT 016 DUSUN ENGGAL MULYO,18090700020016,-5.175142599950311,105.15820085820899
